Date,Clicks,Impressions,CTR,Position
2026-05-14,0,15,0%,16.2
2026-05-15,0,20,0%,14.4
2026-05-16,0,17,0%,20.1
2026-05-17,0,16,0%,17.3
2026-05-18,0,21,0%,8.2
2026-05-19,2,37,5.41%,8.5
2026-05-20,0,28,0%,9.5
2026-05-21,0,23,0%,8.2
2026-05-22,0,23,0%,13.6
2026-05-23,1,17,5.88%,18.5
2026-05-24,0,14,0%,22.9
2026-05-25,0,35,0%,16
2026-05-26,0,49,0%,16.6
2026-05-27,0,41,0%,15.4
2026-05-28,0,46,0%,15.3
2026-05-29,0,29,0%,14.7
2026-05-30,0,13,0%,25.3
2026-05-31,0,53,0%,13.2
2026-06-01,0,50,0%,14.7
2026-06-02,0,36,0%,16.8
2026-06-03,0,44,0%,15.2
2026-06-04,1,32,3.12%,18.1
2026-06-05,0,28,0%,18.4
2026-06-06,0,32,0%,15.3
2026-06-07,0,17,0%,16.6
2026-06-08,1,40,2.5%,11.7
2026-06-09,1,40,2.5%,13.7
2026-06-10,0,38,0%,12.7
2026-06-11,1,41,2.44%,15
2026-06-12,0,26,0%,15.3
2026-06-13,0,15,0%,19.9
2026-06-14,0,23,0%,14.9
2026-06-15,0,53,0%,13.5
2026-06-16,0,55,0%,13.3
2026-06-17,0,38,0%,14.3
2026-06-18,0,45,0%,16.6
2026-06-19,0,30,0%,16.4
2026-06-20,0,21,0%,16.9
2026-06-21,1,33,3.03%,16.4
2026-06-22,0,35,0%,15.4
2026-06-23,0,34,0%,18.9
2026-06-24,0,31,0%,17.1
2026-06-25,0,31,0%,18.1
2026-06-26,0,21,0%,22.7
2026-06-27,0,14,0%,29.4
2026-06-28,0,14,0%,26.6
2026-06-29,1,25,4%,14.4
2026-06-30,0,34,0%,13.9
2026-07-01,0,35,0%,14.9
2026-07-02,0,25,0%,18.5
2026-07-03,0,20,0%,20.6
2026-07-04,0,9,0%,32.8
2026-07-05,0,19,0%,20
2026-07-06,0,23,0%,15.9
2026-07-07,1,19,5.26%,6.3
2026-07-08,0,19,0%,8
2026-07-09,0,19,0%,9
2026-07-10,1,13,7.69%,8.7
2026-07-11,0,5,0%,14.8
2026-07-12,0,8,0%,8.8
2026-07-13,1,12,8.33%,11.3
2026-07-14,0,19,0%,6.9
2026-07-15,1,28,3.57%,8.8
2026-07-16,1,22,4.55%,8.4
2026-07-17,0,12,0%,11.8
2026-07-18,0,7,0%,11.1
2026-07-19,0,5,0%,9.6
2026-07-20,0,8,0%,6.8
2026-07-21,0,8,0%,11.2
2026-07-22,0,14,0%,17.7
2026-07-23,0,12,0%,8.9
2026-07-24,0,15,0%,10.6
2026-07-25,0,5,0%,22
2026-07-26,0,11,0%,17
2026-07-27,1,19,5.26%,9
2026-07-28,0,9,0%,17.4
2026-07-29,1,33,3.03%,17.7
2026-07-30,0,15,0%,14.1
2026-07-31,0,14,0%,33
2026-08-01,0,15,0%,31.3
2026-08-02,0,8,0%,19.2
2026-08-03,0,24,0%,17.5
2026-08-04,1,17,5.88%,11
2026-08-05,0,28,0%,21.6
2026-08-06,1,16,6.25%,8.8
2026-08-07,0,23,0%,13.8
2026-08-08,0,11,0%,33.5
2026-08-09,0,16,0%,21.7
2026-08-10,0,18,0%,18.2
2026-08-11,0,30,0%,17.2
2026-08-12,0,26,0%,16
2026-08-13,1,39,2.56%,29.6
