Country,Clicks,Impressions,CTR,Position
Belgium,18,2119,0.85%,15.91
Germany,1,7,14.29%,8.57
Netherlands,0,35,0%,9.89
United States,0,17,0%,8.76
France,0,8,0%,6.25
Suriname,0,4,0%,6
Portugal,0,4,0%,8.25
Spain,0,3,0%,8.33
Bosnia & Herzegovina,0,3,0%,11
Russia,0,2,0%,2
United Kingdom,0,2,0%,2.5
Italy,0,2,0%,6.5
Andorra,0,2,0%,7.5
Norway,0,2,0%,11.5
Turkey,0,2,0%,34.5
Poland,0,2,0%,52
Guatemala,0,1,0%,1
Austria,0,1,0%,3
Unknown Region,0,1,0%,6
Latvia,0,1,0%,7
Philippines,0,1,0%,7
Argentina,0,1,0%,8
Albania,0,1,0%,9
Croatia,0,1,0%,9
Vietnam,0,1,0%,9
Luxembourg,0,1,0%,10
Ireland,0,1,0%,12
Colombia,0,1,0%,17
