Top pages,Clicks,Impressions,CTR,Position
https://constructief-bouw.be/,18,2147,0.84%,14.81
https://constructief-bouw.be/ru,1,11,9.09%,12.64
https://constructief-bouw.be/nl/diensten/onderaannemer-leuven,0,35,0%,35.71
https://constructief-bouw.be/nl/diensten/onderaannemer-brussel,0,16,0%,57.31
https://constructief-bouw.be/nl/diensten/onderaannemer-luik,0,10,0%,39.3
https://constructief-bouw.be/nl/kandidaten,0,9,0%,26.67
https://constructief-bouw.be/fr/nieuws/1,0,6,0%,30.5
https://constructief-bouw.be/fr,0,3,0%,2
https://constructief-bouw.be/nl/diensten/onderaannemer-s-hertogenbosch,0,2,0%,14
https://constructief-bouw.be/fr/privacy,0,2,0%,17
https://constructief-bouw.be/nl/diensten/onderaannemer-dordrecht,0,2,0%,55
https://constructief-bouw.be/fr/nieuws,0,1,0%,6
https://constructief-bouw.be/fr/nieuws/2,0,1,0%,7
https://constructief-bouw.be/fr/diensten/onderaannemer-genk,0,1,0%,10
